Date,Treatment_Temp,Unit,FFKE#,InitialC0 __PostC1_POCIS,FF#_Running,FF#_Running,Acetaminophen,Amoxicillin,Ampicillin,Atenolol,Atrazine,Benzophenone_1,Benzophenone_3,Beta-Cyfluthrin,Buspirone,Caffeine,Carbamazepine_A,Carbaryl,Chlorpyrifos,Chlortetracycline,Citalopram,Clarithromycin,Clothianidin,Cyhalothrin,DEET,Erythromycin,Esfenvalerate,Ibuprofen,Imidacloprid,Ketoprofen,Malathion,Metformin,Metoprolol,Naproxen,Ofloxacin,Oxytetracycline,Permethrin,Simazine,Sucralose,Sulfadiazine,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiacloprid,Thiamethoxam,Trimethoprim,Venlafaxine,,
6/6/2023,22,0,0,C0,1,FF-1,NA,NA,0.0022,0,0.0101,0.0055,0.0093,NA,0.003,0.0016,0.0041,0.0043,0.0046,0.007,0.0036,0.0033,0.001,0.0021,0.0037,0.0002,0,0.0143,0.0023,0.0036,0.003,0.0005,0.0023,0.0049,0.0148,0.0027,0.0001,0.0051,0.0057,0.0003,0.0068,0.0006,0.0017,0.0042,0.0001,0.0028,0.002,0.0009,0.0042,,
6/6/2023,22,0,0,C0,2,FF-2,NA,NA,0.001,0.0002,0.0073,0.0041,NA,NA,0.0023,0.0012,0.0029,0.0034,0.0027,0.0051,0.0025,0.0021,0.0029,0.001,0.003,0.0001,0.0004,0.0056,0.0013,0.0026,0.0024,0.0003,0.0015,0.0032,0.0114,0.0022,NA,0.0035,0.0041,0.0001,0.0051,0.0003,0.0007,0.0027,0.0001,0.0019,0.0005,0.0022,0.0031,,
6/7/2023,4,1,1,C0,3,FF-3,0.0075,NA,0.0085,0,0.0104,0.0001,NA,0.0076,0.0014,0.0098,0.0002,0.0025,0.0019,0.004,0,0,0.0028,0.0003,0.0047,0.0012,0,0.0359,0.0017,0.0001,0,0.0075,0.0049,0.0074,0.0304,0.0046,0.0001,0.0005,0,0.0076,0.0081,0.0049,0.0064,0.0033,0.0079,0.0012,0.0059,0.0211,0.0086,,
6/8/2023,4,1,1,C1,4,FF-4,0.005,NA,0.0002,0,0.0119,0.0048,NA,NA,0.0009,0.006,0.0059,0,0.0007,0.0025,0.0011,0.0015,0.0027,NA,0.0047,0.0013,NA,0.0236,0.0008,0.0077,0.0014,0.0073,0.0033,0.0103,0.023,0.0011,NA,0.0123,0.0058,0.0081,0.0141,0.0048,0.0081,0.0019,0.0076,0.0038,0.0002,0.0335,0.0043,,
6/7/2023,4,2,2,C0,5,FF-5,0.004,NA,0.0003,0,0,0.0017,NA,NA,0.0009,0.0052,0.0015,0.0014,0.0008,0.0016,0.0012,0.001,0.0009,0,0.0027,0.001,0,0.0099,0.0006,0.0027,0.0009,0.0039,0.0025,0.0043,0.0119,0.001,0.0001,0.0044,0.0056,0.0041,0.004,0.0003,0.0032,0.0004,0.0042,0.0006,0.0031,0.009,0.0042,,
6/8/2023,4,2,2,C1,6,FF-6,0.0034,NA,0.0002,0,0,0.0014,0.0374,NA,0.0007,0.0049,0.0012,0,0.0006,0.0014,0.001,0.001,0.0011,0,0.0021,0.0012,NA,0.0078,0.0006,0.002,0.0007,0.0036,0.0019,0.0045,0.0105,0.0008,NA,0.0039,0.0043,0.0036,0.0031,0.0021,0.003,0.0008,0.0038,0.0004,0.0026,0.0074,0.0032,,
6/7/2023,4,3,3,C0,7,FF-7,0.0075,0.0001,0.0068,0,0.0048,0.0013,0.0205,NA,0.0006,0.0095,0.0013,0.001,0.0004,0.0011,0.0008,0.001,0.0016,0,0.0038,0.0019,NA,0.019,0.0007,0.0029,0.0004,0.0068,0.0035,0.0067,0.0188,0.0007,NA,0.0071,0.0082,0.0002,0.0067,0.0002,0.0056,0.0008,0.0077,0,0.0048,0.0009,0.0061,,
6/8/2023,4,3,3,C1,8,FF-8,0.0075,0.0002,0,0,0.0011,0.0003,NA,NA,0.0004,0.0084,0.0006,0,0.0003,0.0006,0.0006,0.0007,0.0002,NA,0.001,0.0017,NA,0.0222,0.0002,0.0005,0.0002,0.0075,0.0006,0.001,0.0058,0.0006,NA,0.0015,0.0012,0.0079,0.003,0.0001,0.0055,0.0005,0.0081,0.0003,0.0024,0.0002,0.0009,,
6/7/2023,4,4_Control,4,C0,9,FF-9,0.0134,0.0002,0.0072,0,0.0048,0.0003,NA,NA,0.0003,0.0092,0.001,0.0007,0.0002,0.0006,0.0005,0.0007,0.0012,NA,0.0035,0.0023,NA,0.0022,0.0007,0.0014,0.0001,0.0069,0.0035,0.0024,0.0152,0.0006,NA,0.0067,0.0081,0.0076,0.006,0.0041,0.0054,0.0005,0.0079,0,0,0.0119,0.0062,,
6/8/2023,4,4_Control,4,C1,10,FF-10,0.0075,0.0002,0.0057,0,0.0049,0.0003,NA,NA,0.0003,0.0088,0.0012,0.0001,0.0004,0.0009,0.0004,0.0008,0.0015,0.0001,0.0036,0.0031,NA,0.0005,0.0009,0.0011,0.0001,0.0069,0.0035,0.0019,0.0139,0.0019,NA,0.0075,0.0081,0.0074,0.0067,0.0043,0.0054,0.0012,0,0.0002,0.0046,0.0131,0.0061,,
