Date,Treatment_Temp,Unit,FFKE#,InitialC0 __PostC1_POCIS,FF#_Running,FF#_Running,Acetaminophen,Amoxicillin,Ampicillin,Atenolol,Atrazine,Benzophenone_1,Benzophenone_3,Beta-Cyfluthrin,Buspirone,Caffeine,Carbamazepine_A,Carbaryl,Chlorpyrifos,Chlortetracycline,Citalopram,Clarithromycin,Clothianidin,Cyhalothrin,DEET,Erythromycin,Esfenvalerate,Ibuprofen,Imidacloprid,Ketoprofen,Malathion,Metformin,Metoprolol,Naproxen,Ofloxacin,Oxytetracycline,Permethrin,Simazine,Sucralose,Sulfadiazine,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiacloprid,Thiamethoxam,Trimethoprim,Venlafaxine,,
6/6/2023,22,0,0,C0,1,FF-1,NA,NA,0.002174257,0.000049286,0.010065858,0.005538384,0.009315395,NA,0.002983705,0.001575981,0.004132663,0.004319548,0.004596990,0.006999926,0.003643988,0.003299636,0.000954090,0.002147159,0.003672115,0.000191300,0.000021325,0.014307901,0.002309805,0.003614526,0.002993048,0.000479567,0.002262733,0.004904208,0.014800000,0.002680825,0.000122964,0.005124430,0.005685225,0.000326016,0.006826726,0.000640736,0.001705759,0.004160572,0.000072154,0.002752393,0.001954814,0.000851900,0.004225024,,
6/6/2023,22,0,0,C0,2,FF-2,NA,NA,0.001030939,0.000166078,0.007262273,0.004053270,NA,NA,0.002297286,0.001180906,0.002936122,0.003446976,0.002673807,0.005089712,0.002538253,0.002149137,0.002861097,0.000974217,0.003005639,0.000055045,0.000419251,0.005601017,0.001311853,0.002571500,0.002354602,0.000252239,0.001488665,0.003225356,0.011400000,0.002192017,NA,0.003506272,0.004117231,0.000097836,0.005090456,0.000255739,0.000737031,0.002744195,0.000062416,0.001931663,0.000515924,0.002157215,0.003087580,,
6/7/2023,4,1,1,C0,3,FF-3,0.007475453,NA,0.008492762,0.000016219,0.010357626,0.000125254,NA,0.007615342,0.001407199,0.009753224,0.000187329,0.002517930,0.001871007,0.004001687,0.000010330,0.000019075,0.002802874,0.000317986,0.004690674,0.001155622,0.000029490,0.035857591,0.001663559,0.000079021,0.000008041,0.007472895,0.004861649,0.007439888,0.030400000,0.004589782,0.000087634,0.000513597,0.000006719,0.007552645,0.008140070,0.004902633,0.006375899,0.003281609,0.007877321,0.001209960,0.005892612,0.021086072,0.008574149,,
6/8/2023,4,1,1,C1,4,FF-4,0.004954534,NA,0.000165604,0.000005939,0.011948073,0.004770134,NA,NA,0.000942137,0.005982725,0.005938759,0.000046982,0.000681441,0.002456134,0.001111047,0.001484976,0.002731190,NA,0.004676865,0.001310311,NA,0.023558976,0.000762261,0.007707133,0.001389013,0.007326788,0.003344107,0.010339612,0.023000000,0.001074619,NA,0.012322212,0.005761840,0.008075246,0.014092577,0.004795982,0.008126337,0.001908324,0.007567119,0.003818623,0.000169572,0.033516562,0.004303107,,
6/7/2023,4,2,2,C0,5,FF-5,0.004021579,NA,0.000320419,0.000005254,0.000010371,0.001707797,NA,NA,0.000927178,0.005214809,0.001455432,0.001362557,0.000820213,0.001608407,0.001168463,0.001016775,0.000888885,0.000018615,0.002730986,0.000956128,0.000024825,0.009859007,0.000562132,0.002653931,0.000897718,0.003859251,0.002469711,0.004263198,0.011900000,0.001018298,0.000057575,0.004440320,0.005575650,0.004120202,0.003986523,0.000346366,0.003210131,0.000389425,0.004189624,0.000596453,0.003120603,0.009012866,0.004166527,,
6/8/2023,4,2,2,C1,6,FF-6,0.003366473,NA,0.000202185,0.000008851,0.000008994,0.001363186,0.037391603,NA,0.000678880,0.004881337,0.001229017,0.000031098,0.000552217,0.001444483,0.001048184,0.001015361,0.001092252,0.000041098,0.002114849,0.001168498,NA,0.007769083,0.000610998,0.001993309,0.000658351,0.003621141,0.001913376,0.004527427,0.010500000,0.000810577,NA,0.003900013,0.004318925,0.003638520,0.003110290,0.002072654,0.002996275,0.000808209,0.003844972,0.000386141,0.002583935,0.007360166,0.003237953,,
6/7/2023,4,3,3,C0,7,FF-7,0.007490982,0.000136539,0.006772745,0.000002273,0.004801741,0.001254952,0.020521625,NA,0.000550418,0.009498739,0.001268623,0.000966953,0.000413397,0.001132839,0.000784237,0.001003091,0.001552379,0.000015648,0.003843145,0.001860491,NA,0.019014488,0.000709755,0.002924542,0.000352190,0.006787396,0.003459492,0.006668043,0.018800000,0.000725119,NA,0.007091947,0.008169728,0.000193417,0.006725924,0.000203092,0.005625529,0.000800685,0.007696013,0.000004096,0.004756165,0.000854543,0.006139196,,
6/8/2023,4,3,3,C1,8,FF-8,0.007518269,0.000164568,0.000013034,0.000005231,0.001086688,0.000312033,NA,NA,0.000357705,0.008384849,0.000550959,0.000045849,0.000260015,0.000604842,0.000561733,0.000681217,0.000189207,NA,0.000992084,0.001696743,NA,0.022170454,0.000210368,0.000469120,0.000163033,0.007499030,0.000601006,0.001040635,0.005800000,0.000591891,NA,0.001507631,0.001213930,0.007867518,0.002996076,0.000104053,0.005546987,0.000462141,0.008135217,0.000305451,0.002398039,0.000177509,0.000912669,,
6/7/2023,4,4_Control,4,C0,9,FF-9,0.013439132,0.000173262,0.007225977,0.000006421,0.004847809,0.000308229,NA,NA,0.000294563,0.009227299,0.000984148,0.000712694,0.000245180,0.000624121,0.000457925,0.000720822,0.001206210,NA,0.003531751,0.002347407,NA,0.002249155,0.000690407,0.001424201,0.000141297,0.006871124,0.003462904,0.002395491,0.015200000,0.000560814,NA,0.006703285,0.008147689,0.007584244,0.005961304,0.004101642,0.005436305,0.000504736,0.007941869,0.000024409,0.000045759,0.011926489,0.006174949,,
6/8/2023,4,4_Control,4,C1,10,FF-10,0.007471660,0.000152712,0.005707026,0.000010044,0.004858549,0.000334450,NA,NA,0.000257860,0.008830237,0.001200354,0.000085652,0.000415948,0.000918818,0.000378305,0.000795102,0.001532885,0.000100826,0.003635806,0.003105913,NA,0.000472674,0.000918115,0.001099331,0.000112111,0.006862059,0.003498911,0.001861956,0.013900000,0.001912863,NA,0.007518240,0.008109399,0.007355674,0.006698149,0.004267410,0.005407563,0.001200757,0.000004497,0.000219810,0.004554864,0.013081808,0.006110122,,
6/7/2023,15,1,5,C0,11,FF-11,0.007258842,0.000149814,0.004915402,0.000004001,0.005104858,0.000288511,NA,NA,0.000203444,0.008526788,0.001997149,0.000068120,0.000435213,0.000434694,0.000267959,0.000826312,0.003969309,0.000015807,0.003519219,0.003346235,NA,0.004252564,0.001856991,0.001554518,0.000070973,0.006729241,0.003500516,0.001978261,0.014700000,0.000692362,NA,0.007456398,0.008186808,0.007239219,0.007610480,0.004503903,0.005253301,0.000367923,0.000010552,0.000002168,0.005092607,0.018322589,0.006108141,,
6/8/2023,15,1,5,C1,12,FF-12,0.007573398,NA,0.000078388,0.000003962,0.000023950,0.000746220,NA,NA,0.000006669,0.009024938,0.001687139,0.000043405,0.000125859,0.000255629,0.000200131,0.000720955,0.003400872,0.000015371,0.003269150,0.003013263,NA,0.010067471,0.001590488,0.000960254,0.000047186,0.007388221,0.003334040,0.000229426,0.014000000,0.000446422,NA,0.006878029,0.007392738,0.007939409,0.007285520,0.004404442,0.005631645,0.000265783,0.007727849,0.000279400,0.004914327,0.017444453,0.005537755,,
6/7/2023,15,2,6,C0,13,FF-13,0.006910779,0.000229840,0.004770334,0.000005726,0.005903861,0.000559612,0.010445183,NA,0.000147825,0.000102974,0.000001220,0.000428025,0.000173512,0.000304916,0.000178231,0.000808440,0.003074842,NA,0.003495059,0.003584693,NA,0.003737130,0.001568928,0.000167106,0.000002658,0.006478887,0.003397755,0.007212561,0.015200000,0.000473791,NA,0.007730847,0.007727470,0.006957760,0.007178565,0.004255016,0.005129615,0.000281550,0.006852036,0.000254291,0.000007308,0.017261218,0.005820176,,
6/8/2023,15,2,6,C1,14,FF-14,0.006617315,NA,0.000075705,0.000001154,0.004780024,0.000543001,0.020694811,NA,0.000091146,0.007616094,0.001279499,0.000355339,0.000013516,0.000128641,0.000115851,0.000015906,0.000007233,NA,0.002801424,0.003470380,NA,0.000728960,0.001090126,0.002342595,0.000053997,0.006463283,0.002679194,0.005875526,0.012700000,0.000335294,0.000068145,0.005837618,0.005828255,0.007052554,0.006247439,0.003887960,0.004922182,0.000185862,0.006791085,0.000006172,0.003958573,0.013453781,0.004442612,,
6/7/2023,15,3,7,C0,15,FF-15,0.007366987,0.000123139,0.005072506,0.000001997,0.005657441,0.000387558,NA,NA,0.000107621,0.008744137,0.000006062,0.000203664,0.000189853,0.000218072,0.000122782,0.000012739,0.003327776,NA,0.002976924,0.003155531,NA,0.011181983,0.001590767,0.003212178,0.000002260,0.006723669,0.003544745,0.007025733,0.014700000,0.000503568,NA,0.006371064,0.008149375,0.007393421,0.000011248,0.004328942,0.005221465,0.000275021,0.007464528,0.000001027,0.004983545,0.017989688,0.006095837,,
6/8/2023,15,3,7,C1,16,FF-16,0.007449890,NA,0.000022491,0.000001302,0.004446920,0.000480792,NA,0.007518261,0.000081476,0.008497961,0.001061578,0.000254352,0.000167960,0.000106007,0.000045784,0.000696690,0.001792705,NA,0.002521217,0.002352591,0.000015381,0.015034209,0.001182074,0.003112078,0.000060043,0.007160283,0.003049064,0.005179617,0.013400000,0.000392978,NA,0.005064327,0.006652792,0.007800595,0.005366339,0.004236231,0.005416793,0.000185536,0.000042911,0.000002699,0.004592845,0.015539853,0.004969058,,
6/7/2023,15,4_Control,8,C0,17,FF-17,0.006530770,0.000250121,0.005541134,0.000004539,0.005482821,0.000438939,NA,NA,0.000106843,0.007776164,0.001424408,0.000311284,0.000120076,0.000211275,0.000049303,0.000725482,0.002098513,0.000014307,0.002586576,0.003052250,NA,0.008959883,0.001677982,0.003237826,0.000045801,0.006008495,0.003228949,0.005180180,0.013300000,0.000359667,0.000057081,0.005865008,0.007204176,0.006599722,0.006292106,0.004044678,0.004684737,0.000211279,0.006574334,0.000003415,0.004530341,0.017134931,0.005393780,,
6/8/2023,15,4_Control,8,C1,18,FF-18,0.007853078,NA,0.006337858,0.000006027,0.006047714,0.000282397,0.024668195,NA,0.000073201,0.009026075,0.001400737,0.000056738,0.000163667,0.000062560,0.000034470,0.000691271,0.000024411,NA,0.003158801,0.002660739,NA,0.010131068,0.001750212,0.003650149,0.000022096,0.007212886,0.003639690,0.006887233,0.015100000,0.000437043,NA,0.006586083,0.008049461,0.007895294,0.007216217,0.004836557,0.005695496,0.000191465,0.007890880,0.000003042,0.005270759,0.019014828,0.006040726,,
